                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8459,                 3.2424,                 1.8896,                0.34394,                0.32609,                0.25258,                0.08855,                 2.1846,                  3.534,                 2.5271,             0.00055203,             0.00055203,             0.00055203
                      1,                 1.8769,                 2.7193,                 1.8802,                0.28135,                0.38364,                0.23786,                0.07761,                 2.1644,                 3.4939,                 2.3421,             0.00099804,             0.00099804,             0.00099804
                      2,                 1.9256,                 2.5176,                  1.962,                0.38362,                0.43861,                0.32207,                0.13009,                 2.0838,                 2.8883,                 2.2358,               0.001334,               0.001334,               0.001334
                      3,                 1.9115,                 2.2432,                 1.9351,                0.32792,                0.29752,                0.23318,                0.08605,                  2.108,                 2.9814,                 2.2804,              0.0011719,              0.0011719,              0.0011719
                      4,                 1.8793,                 2.1934,                 1.9188,                0.51913,                0.50576,                0.50274,                0.21688,                 1.8831,                 2.0615,                 2.0067,              0.0011719,              0.0011719,              0.0011719
                      5,                  1.795,                 1.9859,                 1.8184,                0.72751,                0.52637,                0.58972,                0.26624,                  1.856,                 1.8512,                 1.9868,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.7751,                 1.8256,                  1.837,                0.67868,                0.56021,                0.61951,                0.27519,                 1.7908,                 1.6749,                 1.9238,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.7229,                 1.7516,                 1.7759,                0.78729,                0.62176,                0.68931,                0.33849,                 1.7217,                 1.5455,                 1.8838,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.6531,                 1.6068,                 1.7288,                0.87459,                0.61253,                0.72496,                 0.3517,                  1.708,                 1.4239,                  1.834,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.6003,                 1.5201,                 1.6985,                0.82534,                0.63923,                0.74351,                 0.3708,                 1.6651,                 1.3376,                  1.797,             0.00034674,             0.00034674,             0.00034674
